matricula_id,cidade,indice_desenvolvimento_da_cidade,genero,experiencia_relevante,universidade_matriculada,nivel_educacional,disciplina_principal,experiencia,tamanho_da_empresa,tipo_da_empresa,ultimo_novo_emprego,horas_treinamento
14685,city_114,"9,26E+15",Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",3,10/49,Empresa Privada Ltda,1 ano,35
20768,city_90,698,Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,2,,,Nunca,87
25906,city_28,"9,39E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",19,50-99,Empresa Privada Ltda,1 ano,37
20142,city_104,924,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,50-99,Empresa Privada Ltda,1 ano,158
25891,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,8
4742,city_149,"6,89E+15",,Não possui experiência relevante,Não matriculado,,,2,,,,114
2222,city_105,794,Masculino,Possui experiência relevante,Não matriculado,Graduação,Administração/Ecocomia,14,100-500,Empresa Privada Ltda,1 ano,15
16917,city_103,92,,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,1,,,1 ano,48
10493,city_21,624,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",8,1000-4999,Empresa Privada Ltda,2 anos,40
10418,city_76,698,Masculino,Possui experiência relevante,Não matriculado,,,7,100-500,Empresa Privada Ltda,Mais de 4 anos,91
9766,city_83,"9,23E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,1000-4999,Empresa Privada Ltda,2 anos,14
1361,city_103,92,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,,,1 ano,132
19625,city_97,925,Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,7,50-99,Empresa Privada Ltda,1 ano,31
20943,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,8
9561,city_28,"9,39E+15",,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",19,,,2 anos,72
4271,city_13,"8,27E+15",,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,<10,Empresa Privada Ltda,2 anos,74
2094,city_64,"6,66E+15",Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",18,100-500,Empresa Privada Ltda,Mais de 4 anos,43
16931,city_31,807,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,,,Mais de 4 anos,134
27298,city_21,624,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,Artes,5,<10,Startup em EstÃ¡gio Inicial,Nunca,18
26493,city_136,897,Masculino,Não possui experiência relevante,,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",8,,Setor PÃºblico,1 ano,124
30745,city_19,682,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",8,,,3 anos,80
21052,city_90,698,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",2,,,Nunca,9
20723,city_11,55,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",<1,50-99,Empresa Privada Ltda,1 ano,188
13539,city_143,74,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,<10,Empresa Privada Ltda,2 anos,182
3214,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,4 anos,282
16230,city_103,92,,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,1,,,Nunca,84
25300,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,<10,Startup em Estágio inicial,1 ano,59
24018,city_11,55,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,10/49,Empresa Privada Ltda,1 ano,116
21833,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",20,50-99,Empresa Privada Ltda,Mais de 4 anos,34
30632,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",12,50-99,Empresa Privada Ltda,2 anos,64
4334,city_103,92,Masculino,Possui experiência relevante,,Ensino Médio,,9,,,2 anos,19
22271,city_100,887,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,Outros,15,,,3 anos,77
28776,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,56
27769,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",2,,,1 ano,73
25909,city_67,855,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",15,100-500,Empresa Privada Ltda,Mais de 4 anos,30
31266,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,500-999,Empresa Privada Ltda,Mais de 4 anos,66
7973,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",14,10000+,Empresa Privada Ltda,1 ano,10
30867,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,100-500,Empresa Privada Ltda,1 ano,100
22501,city_75,"9,39E+15",Masculino,Possui experiência relevante,Não matriculado,,,19,10/49,Empresa Privada Ltda,Mais de 4 anos,32
2539,city_13,"8,27E+15",Masculino,Possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",10,10000+,Empresa Privada Ltda,4 anos,29
26681,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,Administração/Ecocomia,>20,10000+,Empresa Privada Ltda,3 anos,8
16184,city_127,745,,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,1,,,Nunca,77
3852,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,Mais de 4 anos,28
1680,city_19,682,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",19,1000-4999,,4 anos,99
3562,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,2 anos,41
8488,city_101,"5,58E+15",Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",3,,,2 anos,258
8373,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",17,1000-4999,Empresa Privada Ltda,3 anos,144
2934,city_75,"9,39E+15",Masculino,Possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,3 anos,328
12919,city_103,92,Feminino,Possui experiência relevante,Não matriculado,Graduação,Humanas,4,,,1 ano,47
4386,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,3,<10,Startup em EstÃ¡gio Inicial,2 anos,36
22462,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,10000+,ONG,1 ano,30
13988,city_103,92,,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,10000+,Empresa Privada Ltda,Mais de 4 anos,36
21230,city_103,92,,Não possui experiência relevante,Não matriculado,Ensino Médio,,3,,,Mais de 4 anos,41
26180,city_139,"4,87E+16",Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",1,10/49,Empresa Privada Ltda,Nunca,64
16658,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,Administração/Ecocomia,16,50-99,Empresa Privada Ltda,1 ano,55
10324,city_16,91,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,2 anos,12
20453,city_27,848,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Empresa Privada Ltda,Nunca,4
13485,city_136,897,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",11,100-500,Empresa Privada Ltda,2 anos,23
33080,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,Nunca,32
25492,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,1 ano,10
1319,city_71,884,Masculino,Não possui experiência relevante,,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,Mais de 4 anos,18
19146,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",18,50-99,,1 ano,43
29339,city_67,855,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",15,50-99,Empresa Privada Ltda,Nunca,5
33177,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",11,50-99,Empresa Privada Ltda,1 ano,8
22143,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,5000-9999,Empresa Privada Ltda,1 ano,34
22264,city_160,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,,,1 ano,58
17034,city_103,92,,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,10000+,Outro,Nunca,48
27002,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,50-99,Empresa Privada Ltda,Mais de 4 anos,58
21318,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",9,1000-4999,Empresa Privada Ltda,1 ano,7
12308,city_143,74,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",10,1000-4999,Setor PÃºblico,Mais de 4 anos,84
842,city_21,624,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",7,,,1 ano,12
4926,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,Ensino Médio,,1,,,Nunca,22
3,city_99,915,,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,6,,Empresa Privada Ltda,Nunca,44
19567,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",12,1000-4999,Empresa Privada Ltda,1 ano,42
12809,city_61,"9,13E+15",Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,3,100-500,Empresa Privada Ltda,1 ano,48
22682,city_71,884,Masculino,Não possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",2,1000-4999,Empresa Privada Ltda,1 ano,196
1216,city_173,878,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,1000-4999,Empresa Privada Ltda,2 anos,80
4417,city_103,92,,Não possui experiência relevante,Não matriculado,,,,,,,99
24162,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",<1,<10,Empresa Privada Ltda,1 ano,48
16873,city_103,92,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,5000-9999,Empresa Privada Ltda,Mais de 4 anos,95
21920,city_16,91,Feminino,Não possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",19,1000-4999,ONG,1 ano,64
24230,city_21,624,,Possui experiência relevante,Curso em tempo integral,Mestrado,Sem disciplina principal,<1,<10,Startup em Estágio inicial,,17
5189,city_16,91,,Não possui experiência relevante,Não matriculado,Ensino Médio,,<1,,,1 ano,64
24396,city_70,698,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",18,100-500,Empresa Privada Ltda,2 anos,54
770,city_73,754,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Empresa Privada Ltda,1 ano,12
30913,city_103,92,Masculino,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",>20,<10,Empresa Privada Ltda,Mais de 4 anos,19
14566,city_69,856,Feminino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",7,500-999,Empresa Privada Ltda,1 ano,145
15634,city_61,"9,13E+15",Masculino,Possui experiência relevante,Não matriculado,Graduação,Sem disciplina principal,11,100-500,Empresa Privada Ltda,Mais de 4 anos,50
18163,city_64,"6,66E+15",,Possui experiência relevante,Não matriculado,Ensino Médio,,2,,,Nunca,135
16673,city_21,624,,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,1 ano,3
18805,city_16,91,Masculino,Não possui experiência relevante,Não matriculado,Doutorado,Humanas,>20,,,Mais de 4 anos,27
15367,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,1 ano,24
22556,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,10/49,Startup Financiada,1 ano,120
27439,city_100,887,Masculino,Possui experiência relevante,,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,,,1 ano,61
18426,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",10,,,1 ano,23
9789,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,Mais de 4 anos,4
28172,city_114,"9,26E+15",,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,139
9184,city_136,897,Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",3,10000+,Empresa Privada Ltda,1 ano,34
3587,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Mestrado,Humanas,7,,Empresa Privada Ltda,4 anos,21
1167,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",15,100-500,Empresa Privada Ltda,4 anos,10
1663,city_134,698,,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,Mais de 4 anos,15
20948,city_44,725,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",5,10/49,,,42
31594,city_41,"8,27E+15",Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Startup Financiada,Mais de 4 anos,154
27117,city_90,698,Masculino,Não possui experiência relevante,Curso em tempo integral,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",<1,,,Nunca,8
678,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,10000+,Empresa Privada Ltda,1 ano,84
1441,city_103,92,Masculino,Não possui experiência relevante,Curso em tempo integral,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",16,,,Nunca,96
31272,city_21,624,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",13,5000-9999,Empresa Privada Ltda,4 anos,56
12443,city_149,"6,89E+15",Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,6,100-500,Empresa Privada Ltda,1 ano,270
32981,city_165,903,Masculino,Possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,,,1 ano,76
1317,city_103,92,,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",12,100-500,Startup Financiada,1 ano,48
4601,city_28,"9,39E+15",Masculino,Não possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,5000-9999,Empresa Privada Ltda,2 anos,9
30498,city_83,"9,23E+15",,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",3,10/49,Setor PÃºblico,Nunca,27
7863,city_165,903,,Não possui experiência relevante,Não matriculado,GraduaÃ§Ã£o,"Ciência, Tecnologia, Engenharia e Matemática",13,,,3 anos,40
8744,city_150,698,Masculino,Não possui experiência relevante,Curso em tempo integral,Ensino Médio,,1,,,Nunca,72
14698,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,5000-9999,Empresa Privada Ltda,1 ano,66
10021,city_16,91,Feminino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",5,10000+,Empresa Privada Ltda,1 ano,22
15253,city_16,91,Masculino,Possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,Startup Financiada,3 anos,156
18108,city_114,"9,26E+15",Masculino,Possui experiência relevante,Não matriculado,Ensino Médio,,5,10000+,Empresa Privada Ltda,Mais de 4 anos,95
31410,city_160,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",>20,100-500,Empresa Privada Ltda,Mais de 4 anos,35
30532,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",16,500-999,Empresa Privada Ltda,1 ano,102
31733,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",>20,50-99,,Mais de 4 anos,51
28833,city_21,624,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",2,50-99,Empresa Privada Ltda,1 ano,88
8708,city_74,579,Masculino,Possui experiência relevante,,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",3,50-99,Empresa Privada Ltda,1 ano,13
10050,city_103,92,Masculino,Possui experiência relevante,Não matriculado,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",10,10000+,Empresa Privada Ltda,Mais de 4 anos,20
21685,city_114,"9,26E+15",,Não possui experiência relevante,Não matriculado,Doutorado,"Ciência, Tecnologia, Engenharia e Matemática",15,10000+,Empresa Privada Ltda,1 ano,91
18529,city_143,74,Masculino,Possui experiência relevante,Curso em tempo integral,Graduação,"Ciência, Tecnologia, Engenharia e Matemática",6,10/49,Empresa Privada Ltda,4 anos,34
